Título,Compositor,Época,Género,Formato vocal,Acompañamiento,Idioma,Dificultad,Ediciones,PDFs,MIDIs,IMSLP URL
"Lo, the full, final sacrifice",Gerald Finzi,,,SATB,,,,0,0,0,https://imslp.org/wiki/Lo%2C_the_full%2C_final_sacrifice%2C_Op.26_%28Finzi%2C_Gerald%29
Locus Iste,Anton Bruckner,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,https://imslp.org/wiki/Locus_iste%2C_WAB_23_%28Bruckner%2C_Anton%29
Los Campanilleros,Tradicional de Andalucía,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Los Sobrinos del Capitán Grant,M. Fernández Caballero,Zarzuela,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Los vareadores,Anónimo,Contemporáneo,Popular,SATB,,Español,,1,1,0,
Lux Aeterna,Morten Lauridsen,,,SATB,,,,0,0,0,
Lux Aeterna,Edward Elgar,,,SATB,,,,0,0,0,
Lux Aurumque,Eric Whitacre,,,SATB,,,,0,0,0,
Madre de siete dolores,Florián Rodríguez,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Madrid (Chotis),Agustín Lara,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
Magnificat,Arvo Pärt,,,SATB,,,,0,0,0,
Magnificat,John Rutter,,,SATB,,,,0,0,0,
Magnificat BWV 243,Johann Sebastian Bach,,,SSATB,,,,0,0,0,https://imslp.org/wiki/Magnificat_in_D_major%2C_BWV_243_%28Bach%2C_Johann_Sebastian%29
Maitechu mía,Jesús Guridi,Siglo XX,Canción vasca,SATB,,Euskera,,1,2,0,
Maitechu mía (arr. Alonso),Jesús Guridi,Siglo XX,Canción vasca,SATB,,Euskera,,1,1,0,
Manolito Chiquito,Tradicional de Extremadura,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
